ELRC-2481-Constituio_da_Repbli	v1	3618	9/11709	.07
ELRC-2610-Polish_Energy_Conser	v1	2667	9/11709	.07
ELRC-2868-EU_publications_medi	v1	13131	9/11709	.07
ELRC-3555-Law_Higher_Education	v1	2976	9/11709	.07
ELRC-5139-Bileog_do_Phlean	v1	36	9/11709	.07
ELRC-5183-SciPar_Ukraine	v1	320840	9/11709	.07
ELRC-536-www.fhi.no	v1	2414	9/11709	.07
ELRC-621-Federal_Constitution	v1	4109	9/11709	.07
ELRC-841-Employment_Poland_20	v1	2712	9/11709	.07
ELRC-849-ufm.dk	v1	10105	9/11709	.07
ELRC-852-www.dma.dk	v1	2986	9/11709	.07
ELRC-853-Portuguese_Constitut	v1	1502	9/11709	.07
ELRC-856-naturstyrelsen.dk	v1	3146	9/11709	.07
ELRC-930-studies_reports_stat	v1	11612	9/11709	.07
ELRC-968-Digital_Affairs	v1	956	9/11709	.07
ELRC-975-Science_Poland	v1	27992	9/11709	.07
ELRC-EUIPO_list	v1	48709	9/11709	.07
ELRC-Swedish_Labour	v1	2553	9/11709	.07
ELRA-W0134	v1	2360	8/11709	.06
ELRA-W0149	v1	31626	8/11709	.06
ELRA-W0150	v1	35014	8/11709	.06
ELRA-W0228	v1	2159	8/11709	.06
ELRA-W0229	v1	3605	8/11709	.06
ELRA-W0239	v1	8092	8/11709	.06
ELRA-W0255	v1	1646	8/11709	.06
ELRA-W0263	v1	13790	8/11709	.06
ELRA-W0271	v1	3429	8/11709	.06
ELRA-W0281	v1	1396	8/11709	.06
ELRA-W0291	v1	1034	8/11709	.06
ELRA-W0292	v1	1949	8/11709	.06
ELRC-1056-open_broadband_infor	v1	2360	8/11709	.06
ELRC-1065-PIO_Publication_Cypr	v1	1343	8/11709	.06
ELRC-1083-AECOSAN	v1	5917	8/11709	.06
ELRC-1086-Information_Portal_G	v1	11239	8/11709	.06
ELRC-1100-EUIPO_list	v1	31626	8/11709	.06
ELRC-1101-EUIPO_list	v1	35014	8/11709	.06
ELRC-1986-Constitution_Greece	v1	1030	8/11709	.06
ELRC-2013-EUIPO_2017	v1	17260	8/11709	.06
ELRC-2405-Czech_Supreme_Audit	v1	2914	8/11709	.06
ELRC-2442-_Chonradh_Ginearlta	v1	7518	8/11709	.06
ELRC-386-Statens_Vegvesen	v1	1637	8/11709	.06
ELRC-401-Swedish_Labour_Part2	v1	1572	8/11709	.06
ELRC-426-Danish_Higher_Educat	v1	1536	8/11709	.06
ELRC-5042-Kazakh_Legal_MT	v1	1021	8/11709	.06
ELRC-5136-Tuarasclacha_Bliantl	v1	1307	8/11709	.06
ELRC-516-Icelandic_Medicines	v1	701	8/11709	.06
ELRC-524-www.uib.no	v1	2476	8/11709	.06
ELRC-798-Financial_Stability_	v1	2141	8/11709	.06
ELRC-799-Financial_Stability_	v1	3603	8/11709	.06
ELRC-829-Swedish_Migration_Bo	v1	8092	8/11709	.06
ELRC-878-Digitization	v1	1646	8/11709	.06
ELRC-900-Danish_Working_Envir	v1	1160	8/11709	.06
ELRC-913-2018_Proposal_a	v1	13790	8/11709	.06
ELRC-932-Hellenic_Foreign_Aff	v1	3429	8/11709	.06
ELRC-960-Commissioner_Human_R	v1	1396	8/11709	.06
ELRC-984-Government_Cooperati	v1	1034	8/11709	.06
ELRC-986-Embassy_Finland_Zagr	v1	1949	8/11709	.06
ELRC-Information_Portal	v1	13072	8/11709	.06
ELRC-PIO_Publication	v1	4536	8/11709	.06
ELRC-Swedish_Migration	v1	8318	8/11709	.06
ELRA-W0154	v1	11121	7/11709	.05
ELRA-W0175	v1	2297	7/11709	.05
ELRA-W0247	v1	3929	7/11709	.05
ELRA-W0274	v1	5470	7/11709	.05
ELRA-W0275	v1	4581	7/11709	.05
ELRA-W0293	v1	2958	7/11709	.05
ELRA-W0309	v1	205	7/11709	.05
ELRC-1060-Information_society	v1	3257	7/11709	.05
ELRC-1815-EIR_Newsletter	v1	3807	7/11709	.05
ELRC-2469-Ritis_Airgeadais_Oif	v1	528	7/11709	.05
ELRC-393-Estonian_Cabinet_Min	v1	11121	7/11709	.05
ELRC-473-PKN_Orlen	v1	2297	7/11709	.05
ELRC-478-Polish_Food_4	v1	4442	7/11709	.05
ELRC-506-www.lanamal.is	v1	1138	7/11709	.05
ELRC-5144-Iarracht_ar_Threoir	v1	167	7/11709	.05
ELRC-592-kam.lt	v1	7798	7/11709	.05
ELRC-745-Convention_against_T	v1	205	7/11709	.05
ELRC-774-Presidency	v1	16365	7/11709	.05
ELRC-851-www.vikingeskibsmuse	v1	12106	7/11709	.05
ELRC-858-Export_Promotion_Por	v1	3929	7/11709	.05
ELRC-859-um.dk	v1	3060	7/11709	.05
ELRC-945-Business_Poland	v1	5470	7/11709	.05
ELRC-947-Polish_Aid	v1	4581	7/11709	.05
ELRC-989-Foreign_Affairs_Croa	v1	2958	7/11709	.05
ELRC-CORDIS_News	v1	149280	7/11709	.05
ELRC-Foreign_Affairs	v1	3512	7/11709	.05
ELRC-www.turku.fi	v1	20217	7/11709	.05
Tatoeba	v2	407821	7/11709	.05
TED2013	v1.1	192310	7/11709	.05
TED2020	v1	436417	7/11709	.05
ELRA-W0178	v1	6077	6/11709	.05
ELRA-W0213	v1	1958	6/11709	.05
ELRA-W0230	v1	1989	6/11709	.05
ELRA-W0235	v1	3564	6/11709	.05
ELRA-W0283	v1	1318	6/11709	.05
ELRA-W0297	v1	6620	6/11709	.05
ELRC-1070-Press_Information_Cy	v1	1853	6/11709	.05
ELRC-1090-German_Foreign_Offic	v1	21092	6/11709	.05
ELRC-1240-Austrian_Research_Te	v1	2996	6/11709	.05
ELRC-2032-www.turku.fi	v1	17326	6/11709	.05
ELRC-2404-Czech_Supreme_Audit	v1	413	6/11709	.05
ELRC-2414-Tuarasclaca_Bliantla	v1	3120	6/11709	.05
ELRC-2441-_Chonradh_don	v1	2044	6/11709	.05
ELRC-2502-TERMITUR	v1	3312	6/11709	.05
ELRC-2616-Museus_2007	v1	1175	6/11709	.05
ELRC-3197-antibiotic	v1	363	6/11709	.05
ELRC-3216-antibiotic	v1	992	6/11709	.05
ELRC-477-Health_Fund	v1	5656	6/11709	.05
ELRC-502-Icelandic_Financial_	v1	1507	6/11709	.05
ELRC-5174-French_Polish_Ukrain	v1	37533	6/11709	.05
ELRC-519-www.ssb.no	v1	6460	6/11709	.05
ELRC-531-www.usn.no	v1	2041	6/11709	.05
ELRC-535-www.nbim.no	v1	4006	6/11709	.05
ELRC-541-www.imr.no	v1	3223	6/11709	.05
ELRC-574-www.barentswatch.no	v1	3351	6/11709	.05
ELRC-712-Social_Insurance_Frs	v1	1958	6/11709	.05
ELRC-801-Coimisineir_Teanga_R	v1	1989	6/11709	.05
ELRC-805-Udras_na_Gaeltachta	v1	1374	6/11709	.05
ELRC-813-Polish_Foreign_Affai	v1	3564	6/11709	.05
ELRC-844-PAeSI__Administratio	v1	360	6/11709	.05
ELRC-937-vp1992_2001.presiden	v1	16548	6/11709	.05
ELRC-938-vp2001_2006.presiden	v1	25362	6/11709	.05
ELRC-966-Institute_Mathematic	v1	1318	6/11709	.05
ELRC-996-nature_protection_st	v1	979	6/11709	.05
ELRC-Museus_2007	v1	1177	6/11709	.05
ELRC-TERMITUR	v1	3312	6/11709	.05
CAPES	v1	1158123	5/11709	.04
ELRA-W0170	v1	6563	5/11709	.04
ELRA-W0182	v1	3651	5/11709	.04
ELRA-W0189	v1	2719	5/11709	.04
ELRA-W0196	v1	116	5/11709	.04
ELRA-W0209	v1	91	5/11709	.04
ELRA-W0212	v1	14642	5/11709	.04
ELRA-W0218	v1	8376	5/11709	.04
ELRA-W0224	v1	1104	5/11709	.04
ELRA-W0258	v1	625	5/11709	.04
ELRA-W0267	v1	11066	5/11709	.04
ELRC-1117-CORDIS_News	v1	110915	5/11709	.04
ELRC-1159-Swedish_Migration_Bo	v1	1091	5/11709	.04
ELRC-2033-www.turku.fi	v1	9565	5/11709	.04
ELRC-2458-Tarmaocht_agus_aistr	v1	307	5/11709	.04
ELRC-2465-Faisnis_faoi_IDS	v1	30	5/11709	.04
ELRC-2870-EU_publications_medi	v1	3045	5/11709	.04
ELRC-435-Romanian_New_Crimina	v1	6563	5/11709	.04
ELRC-481-Polish_Foreign_Affai	v1	3651	5/11709	.04
ELRC-488-Justice_Slovak	v1	2719	5/11709	.04
ELRC-496-Convention_transfer_	v1	116	5/11709	.04
